영화명,배급사,전국관객수,개봉일
오직 그대만,(주)쇼박스,1027622,2011-10-20
리얼 스틸,한국소니픽쳐스릴리징브에나비스타영화㈜,3579666,2011-10-12
의뢰인,(주)쇼박스,2393086,2011-09-29
도가니,씨제이이앤엠(주),4662822,2011-09-22
가문의 영광4 - 가문의 수난,(주)넥스트엔터테인먼트월드(NEW),2363955,2011-09-07
혹성탈출: 진화의 시작,이십세기폭스코리아(주),2773794,2011-08-17
개구쟁이 스머프,한국소니픽쳐스릴리징브에나비스타영화㈜,1027438,2011-08-11
최종병기 활,롯데쇼핑㈜롯데엔터테인먼트,7466976,2011-08-10
블라인드,(주)넥스트엔터테인먼트월드(NEW),2362906,2011-08-10
7광구,씨제이이앤엠(주),2232179,2011-08-04
마당을 나온 암탉,롯데쇼핑㈜롯데엔터테인먼트,2199048,2011-07-28
퀵,씨제이이앤엠(주),3125069,2011-07-20
고지전,(주)쇼박스,2945137,2011-07-20
해리포터와 죽음의 성물2,워너브러더스 코리아(주),4400298,2011-07-13
트랜스포머 3,씨제이이앤엠(주),7784807,2011-06-29
엑스맨: 퍼스트 클래스,이십세기폭스코리아(주),2532306,2011-06-02
쿵푸팬더 2,씨제이이앤엠(주),5062722,2011-05-26
캐리비안의 해적: 낯선 조류,한국소니픽쳐스릴리징브에나비스타영화㈜,3130046,2011-05-19
소스 코드,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",1277301,2011-05-04
써니,씨제이이앤엠(주),7328820,2011-05-04
토르: 천둥의 신,씨제이이앤엠(주),1694529,2011-04-28
분노의 질주: 언리미티드,유니버설픽쳐스인터내셔널 코리아(유),1621973,2011-04-20
수상한 고객들,씨제이이앤엠(주),1059350,2011-04-14
위험한 상견례,롯데쇼핑㈜롯데엔터테인먼트,2595625,2011-03-31
월드 인베이젼,한국소니픽쳐스릴리징브에나비스타영화㈜,1307873,2011-03-10
블랙 스완,이십세기폭스코리아(주),1623199,2011-02-24
아이들...,롯데쇼핑㈜롯데엔터테인먼트,1864408,2011-02-17
그대를 사랑합니다,(주)넥스트엔터테인먼트월드(NEW),1640351,2011-02-17
라푼젤,한국소니픽쳐스릴리징브에나비스타영화㈜,1006075,2011-02-10
조선명탐정 : 각시투구꽃의 비밀,(주)쇼박스,4786259,2011-01-27
평양성,롯데쇼핑㈜롯데엔터테인먼트,1717566,2011-01-27
걸리버 여행기,이십세기폭스코리아(주),1762070,2011-01-27
글러브,씨제이엔터테인먼트,1888100,2011-01-20
심장이 뛴다,롯데쇼핑㈜롯데엔터테인먼트,1006947,2011-01-05
라스트 갓파더,씨제이엔터테인먼트,2316099,2010-12-29
황해,"(주)쇼박스,이십세기폭스코리아(주)",2167426,2010-12-22
헬로우 고스트,(주)넥스트엔터테인먼트월드(NEW),2897477,2010-12-22
해리 포터와 죽음의 성물1,워너브러더스 코리아(주),2809053,2010-12-15
